# X(m) Y(m) Z(m)
4.263291656970977783e-01 3.520442917943000793e-02 -4.649130105972290039e-01
4.257185459136962891e-01 3.397709876298904419e-02 -4.658005535602569580e-01
4.244212508201599121e-01 3.343572467565536499e-02 -4.641960263252258301e-01
4.241979122161865234e-01 3.129748627543449402e-02 -4.636296629905700684e-01
4.225425422191619873e-01 3.052153438329696655e-02 -4.692499339580535889e-01
4.221169650554656982e-01 3.191970288753509521e-02 -4.721221029758453369e-01
4.216682016849517822e-01 3.274264186620712280e-02 -4.754240810871124268e-01
4.248114824295043945e-01 3.452924638986587524e-02 -4.761207103729248047e-01
4.328007996082305908e-01 4.639178887009620667e-02 -4.827588498592376709e-01
4.343005716800689697e-01 4.732295498251914978e-02 -4.798676371574401855e-01
4.440256953239440918e-01 5.825285613536834717e-02 -4.835702776908874512e-01
4.465378224849700928e-01 5.392505228519439697e-02 -4.794433116912841797e-01
4.471241831779479980e-01 5.140035226941108704e-02 -4.718324840068817139e-01
4.541433155536651611e-01 4.353040084242820740e-02 -4.726688265800476074e-01
4.616753756999969482e-01 4.299753531813621521e-02 -4.752180874347686768e-01
4.611120820045471191e-01 2.889180742204189301e-02 -4.722730517387390137e-01
4.660761654376983643e-01 2.943996898829936981e-02 -4.806682169437408447e-01
4.647687077522277832e-01 2.651666477322578430e-02 -4.779997169971466064e-01
4.647148847579956055e-01 2.647637017071247101e-02 -4.779290854930877686e-01
4.668686985969543457e-01 2.615933306515216827e-02 -4.804866015911102295e-01
4.654435515403747559e-01 2.585938759148120880e-02 -4.797834455966949463e-01
4.652592539787292480e-01 2.520262822508811951e-02 -4.804314970970153809e-01
4.643684029579162598e-01 2.509701438248157501e-02 -4.804725348949432373e-01
4.641524255275726318e-01 2.673687227070331573e-02 -4.808443188667297363e-01
4.572646021842956543e-01 2.748515270650386810e-02 -4.760970771312713623e-01
4.561844170093536377e-01 2.717918530106544495e-02 -4.749519526958465576e-01
4.553526639938354492e-01 2.844418399035930634e-02 -4.727279245853424072e-01
4.550853967666625977e-01 2.598327584564685822e-02 -4.717892706394195557e-01
4.562622904777526855e-01 2.586501277983188629e-02 -4.718329608440399170e-01
4.564966857433319092e-01 2.845691516995429993e-02 -4.721502959728240967e-01
4.565880000591278076e-01 2.885543927550315857e-02 -4.696489274501800537e-01
4.582129120826721191e-01 3.038061782717704773e-02 -4.689189791679382324e-01
4.584302306175231934e-01 2.848102524876594543e-02 -4.682599902153015137e-01
4.581619203090667725e-01 2.728400751948356628e-02 -4.668796360492706299e-01
4.580599963665008545e-01 2.533475682139396667e-02 -4.666011333465576172e-01
4.577760398387908936e-01 2.473961189389228821e-02 -4.665061235427856445e-01
4.577302336692810059e-01 2.438327111303806305e-02 -4.666318297386169434e-01
4.584044516086578369e-01 2.409398928284645081e-02 -4.673173129558563232e-01
4.584603905677795410e-01 2.384600974619388580e-02 -4.682115316390991211e-01
4.555543661117553711e-01 3.175815939903259277e-02 -4.702737033367156982e-01
4.531750977039337158e-01 2.793663553893566132e-02 -4.701316356658935547e-01
4.531945288181304932e-01 1.982525363564491272e-02 -4.759327471256256104e-01
4.535819590091705322e-01 1.499985903501510620e-02 -4.755094647407531738e-01
4.537244439125061035e-01 1.910799369215965271e-02 -4.748130440711975098e-01
4.575450122356414795e-01 3.820667415857315063e-02 -4.618895947933197021e-01
4.612870216369628906e-01 4.050031304359436035e-02 -4.609618782997131348e-01
4.636523425579071045e-01 3.957759588956832886e-02 -4.571365416049957275e-01
4.711809754371643066e-01 4.081203415989875793e-02 -4.598868489265441895e-01
4.712738394737243652e-01 3.966260701417922974e-02 -4.712181091308593750e-01
4.698472619056701660e-01 3.098645061254501343e-02 -4.710123836994171143e-01
4.708920717239379883e-01 3.584244102239608765e-02 -4.856774806976318359e-01
4.794616997241973877e-01 3.678438067436218262e-02 -4.955489039421081543e-01
4.834125936031341553e-01 3.606171905994415283e-02 -5.023053884506225586e-01
4.954363405704498291e-01 2.613782882690429688e-02 -5.108972191810607910e-01
4.960918724536895752e-01 1.963667571544647217e-02 -5.111120939254760742e-01
4.987109601497650146e-01 1.440743729472160339e-02 -5.109493136405944824e-01
5.053703784942626953e-01 1.054226979613304138e-02 -5.198568701744079590e-01
5.048313736915588379e-01 4.918321967124938965e-03 -5.168657302856445312e-01
5.054528117179870605e-01 4.691310226917266846e-03 -5.166855454444885254e-01
5.060717463493347168e-01 4.177935421466827393e-03 -5.205129384994506836e-01
5.049455761909484863e-01 1.072322204709053040e-02 -5.299047231674194336e-01
5.040901303291320801e-01 1.666251569986343384e-02 -5.307873487472534180e-01
4.989787042140960693e-01 3.011102974414825439e-02 -5.284649729728698730e-01
4.938945174217224121e-01 3.577047958970069885e-02 -5.285183787345886230e-01
4.823737442493438721e-01 4.934721812605857849e-02 -5.115272402763366699e-01
4.821656346321105957e-01 6.117551028728485107e-02 -5.171763896942138672e-01
4.808292984962463379e-01 5.607886984944343567e-02 -5.044811964035034180e-01
4.784558117389678955e-01 6.121059134602546692e-02 -5.047969818115234375e-01
4.778538942337036133e-01 6.800878047943115234e-02 -5.068947076797485352e-01
